Date,AQI
01-01-2025,281
02-01-2025,331
03-01-2025,295
04-01-2025,282
05-01-2025,318
06-01-2025,182
07-01-2025,101
08-01-2025,72
09-01-2025,48
10-01-2025,104
11-01-2025,212
12-01-2025,179
13-01-2025,332
14-01-2025,305
15-01-2025,239
16-01-2025,237
17-01-2025,309
18-01-2025,325
19-01-2025,314
20-01-2025,320
21-01-2025,302
22-01-2025,260
23-01-2025,134
24-01-2025,257
25-01-2025,220
26-01-2025,206
27-01-2025,222
28-01-2025,146
29-01-2025,202
30-01-2025,219
31-01-2025,289
01-02-2025,290
02-02-2025,300
03-02-2025,279
04-02-2025,120
05-02-2025,136
06-02-2025,272
07-02-2025,198
08-02-2025,198
09-02-2025,166
10-02-2025,126
11-02-2025,130
12-02-2025,142
13-02-2025,198
14-02-2025,197
15-02-2025,192
16-02-2025,248
17-02-2025,210
18-02-2025,244
19-02-2025,160
20-02-2025,130
21-02-2025,138
22-02-2025,220
23-02-2025,142
24-02-2025,244
25-02-2025,308
26-02-2025,88
27-02-2025,96
28-02-2025,155
01-03-2025,218
02-03-2025,230
03-03-2025,176
04-03-2025,200
05-03-2025,102
06-03-2025,212
07-03-2025,210
08-03-2025,263
09-03-2025,149
10-03-2025,140
11-03-2025,129
12-03-2025,156
13-03-2025,190
14-03-2025,231
15-03-2025,252
16-03-2025,208
17-03-2025,184
18-03-2025,228
19-03-2025,177
20-03-2025,242
21-03-2025,270
22-03-2025,157
23-03-2025,179
24-03-2025,320
25-03-2025,246
26-03-2025,212
27-03-2025,174
28-03-2025,264
29-03-2025,229
30-03-2025,308
31-03-2025,316
01-04-2025,243
02-04-2025,265
03-04-2025,249
04-04-2025,286
05-04-2025,246
06-04-2025,212
07-04-2025,247
08-04-2025,254
09-04-2025,311
10-04-2025,262
11-04-2025,246
12-04-2025,255
13-04-2025,349
14-04-2025,316
15-04-2025,234
16-04-2025,288
17-04-2025,288
18-04-2025,287
19-04-2025,388
20-04-2025,298
21-04-2025,328
22-04-2025,269
23-04-2025,246
24-04-2025,260
25-04-2025,216
26-04-2025,212
27-04-2025,314
28-04-2025,269
29-04-2025,327
30-04-2025,276
01-05-2025,273
02-05-2025,197
03-05-2025,210
04-05-2025,250
05-05-2025,167
06-05-2025,232
07-05-2025,184
08-05-2025,232
09-05-2025,169
10-05-2025,142
11-05-2025,157
12-05-2025,134
13-05-2025,187
14-05-2025,267
15-05-2025,296
16-05-2025,366
17-05-2025,248
18-05-2025,250
19-05-2025,254
20-05-2025,274
21-05-2025,
22-05-2025,212
23-05-2025,134
24-05-2025,70
25-05-2025,172
26-05-2025,200
27-05-2025,220
28-05-2025,197
29-05-2025,266
30-05-2025,187
31-05-2025,188
01-06-2025,372
02-06-2025,212
03-06-2025,278
04-06-2025,242
05-06-2025,236
06-06-2025,210
07-06-2025,314
08-06-2025,382
09-06-2025,238
10-06-2025,319
11-06-2025,303
12-06-2025,257
13-06-2025,219
14-06-2025,236
15-06-2025,163
16-06-2025,161
17-06-2025,90
18-06-2025,69
19-06-2025,123
20-06-2025,104
21-06-2025,167
22-06-2025,182
23-06-2025,153
24-06-2025,190
25-06-2025,271
26-06-2025,176
27-06-2025,137
28-06-2025,131
29-06-2025,128
30-06-2025,78
01-07-2025,56
02-07-2025,74
03-07-2025,62
04-07-2025,73
05-07-2025,
06-07-2025,88
07-07-2025,90
08-07-2025,99
09-07-2025,96
10-07-2025,58
11-07-2025,95
12-07-2025,96
13-07-2025,
14-07-2025,76
15-07-2025,82
16-07-2025,73
17-07-2025,51
18-07-2025,118
19-07-2025,147
20-07-2025,98
21-07-2025,39
22-07-2025,88
23-07-2025,58
24-07-2025,54
25-07-2025,52
26-07-2025,60
27-07-2025,59
28-07-2025,79
29-07-2025,62
30-07-2025,78
31-07-2025,95
01-08-2025,89
02-08-2025,86
03-08-2025,148
04-08-2025,96
05-08-2025,74
06-08-2025,75
07-08-2025,80
08-08-2025,74
09-08-2025,116
10-08-2025,80
11-08-2025,70
12-08-2025,70
13-08-2025,87
14-08-2025,80
15-08-2025,70
16-08-2025,67
17-08-2025,44
18-08-2025,58
19-08-2025,67
20-08-2025,70
21-08-2025,120
22-08-2025,111
23-08-2025,154
24-08-2025,64
25-08-2025,70
26-08-2025,103
27-08-2025,99
28-08-2025,111
29-08-2025,134
30-08-2025,88
31-08-2025,117
01-09-2025,146
02-09-2025,134
03-09-2025,110
04-09-2025,109
05-09-2025,100
06-09-2025,134
07-09-2025,146
08-09-2025,172
09-09-2025,151
10-09-2025,108
11-09-2025,78
12-09-2025,89
13-09-2025,66
14-09-2025,82
15-09-2025,55
16-09-2025,46
17-09-2025,63
18-09-2025,76
19-09-2025,170
20-09-2025,121
21-09-2025,95
22-09-2025,51
23-09-2025,52
24-09-2025,41
25-09-2025,50
26-09-2025,100
27-09-2025,121
28-09-2025,174
29-09-2025,183
30-09-2025,177
01-10-2025,195
02-10-2025,220
03-10-2025,137
04-10-2025,146
05-10-2025,234
06-10-2025,50
07-10-2025,49
08-10-2025,43
09-10-2025,23
10-10-2025,26
11-10-2025,41
12-10-2025,180
13-10-2025,160
14-10-2025,158
15-10-2025,179
16-10-2025,258
17-10-2025,254
18-10-2025,216
19-10-2025,237
20-10-2025,216
21-10-2025,246
22-10-2025,261
23-10-2025,202
24-10-2025,274
25-10-2025,272
26-10-2025,243
27-10-2025,368
28-10-2025,364
29-10-2025,385
30-10-2025,342
31-10-2025,352
01-11-2025,402
02-11-2025,336
03-11-2025,418
04-11-2025,425
05-11-2025,312
06-11-2025,299
07-11-2025,298
08-11-2025,348
09-11-2025,246
10-11-2025,348
11-11-2025,311
12-11-2025,240
13-11-2025,234
14-11-2025,284
15-11-2025,212
16-11-2025,234
17-11-2025,194
18-11-2025,228
19-11-2025,280
20-11-2025,288
21-11-2025,275
22-11-2025,209
23-11-2025,198
24-11-2025,197
25-11-2025,332
26-11-2025,329
27-11-2025,343
28-11-2025,382
29-11-2025,406
30-11-2025,404
01-12-2025,384
02-12-2025,374
03-12-2025,366
04-12-2025,410
05-12-2025,350
06-12-2025,338
07-12-2025,266
08-12-2025,238
09-12-2025,296
10-12-2025,422
11-12-2025,306
12-12-2025,180
13-12-2025,192
14-12-2025,157
15-12-2025,171
16-12-2025,199
17-12-2025,300
18-12-2025,398
19-12-2025,442
20-12-2025,392
21-12-2025,324
22-12-2025,341
23-12-2025,356
24-12-2025,328
25-12-2025,300
26-12-2025,347
27-12-2025,364
28-12-2025,286
29-12-2025,287
30-12-2025,374
31-12-2025,353
01-01-2026,281
02-01-2026,331
03-01-2026,295
04-01-2026,282
05-01-2026,318
06-01-2026,182
07-01-2026,101
08-01-2026,72
09-01-2026,48
10-01-2026,104
11-01-2026,212
12-01-2026,179
13-01-2026,332
14-01-2026,305
15-01-2026,239
16-01-2026,237
17-01-2026,309
18-01-2026,325
19-01-2026,314
20-01-2026,320
21-01-2026,302
22-01-2026,260
23-01-2026,134
24-01-2026,257
25-01-2026,220
26-01-2026,206
27-01-2026,222
28-01-2026,146
29-01-2026,202
